"infinitive","english","present","simple_past","present_perfect","example"
"oversteken","to cross","steek over","stak over","ben overgestoken","Ik steek de drukke straat over."
"tegenhouden","to stop - to hold back","houd tegen","hield tegen","heb tegengehouden","De politie houdt het verkeer tegen."
"tegenkomen","to run into","kom tegen","kwam tegen","ben tegengekomen","Ik kom haar vaak in de stad tegen."
"terugbellen","to call back","bel terug","belde terug","heb teruggebeld","Ik bel je vanmiddag even terug."
"terugbetalen","to refund","betaal terug","betaalde terug","heb terugbetaald","Ik betaal je het geld snel terug."
"terugbrengen","to bring back","breng terug","bracht terug","heb teruggebracht","Ik breng het boek vandaag terug."
"teruggaan","to go back","ga terug","ging terug","ben teruggegaan","We gaan na de pauze terug."
"teruggeven","to give back","geef terug","gaf terug","heb teruggegeven","Geef me mijn pen alsjeblieft terug."
"terugsturen","to send back","stuur terug","stuurde terug","heb teruggestuurd","Ik stuur het pakket vandaag terug."
"thuiskomen","to come home","kom thuis","kwam thuis","ben thuisgekomen","Ik kom om zes uur thuis."
"thuisblijven","to stay home","blijf thuis","bleef thuis","ben thuisgebleven","Vandaag blijf ik lekker thuis."
"toevoegen","to add","voeg toe","voegde toe","heb toegevoegd","Voeg nog wat zout aan de soep toe."
"uitdelen","to hand out","deel uit","deelde uit","heb uitgedeeld","De juf deelt de boeken uit."
"uitdoen","to turn off - to take off","doe uit","deed uit","heb uitgedaan","Doe het licht even uit."
"uitgeven","to spend - to publish","geef uit","gaf uit","heb uitgegeven","Ik geef te veel geld aan kleren uit."
"uitkijken","to watch out - to look forward","kijk uit","keek uit","heb uitgekeken","Kijk uit, de vloer is nat."
"uitkomen","to turn out - to work out","kom uit","kwam uit","ben uitgekomen","Dat komt me eigenlijk heel goed uit."
"uitlaten","to walk the dog","laat uit","liet uit","heb uitgelaten","Ik laat de hond elke avond uit."
"uitmaken","to matter - to break up","maak uit","maakte uit","heb uitgemaakt","Het maakt mij niet zoveel uit."
"uitpakken","to unpack","pak uit","pakte uit","heb uitgepakt","Ik pak mijn koffer meteen uit."
"uitproberen","to try out","probeer uit","probeerde uit","heb uitgeprobeerd","Ik probeer het nieuwe recept uit."
"uitrusten","to rest","rust uit","rustte uit","heb uitgerust","Na het werk rust ik even uit."
"uitslapen","to sleep in","slaap uit","sliep uit","heb uitgeslapen","In het weekend slaap ik graag uit."
"uitspreken","to pronounce","spreek uit","sprak uit","heb uitgesproken","Ik kan dat woord moeilijk uitspreken."
"uitstellen","to postpone","stel uit","stelde uit","heb uitgesteld","We stellen de vergadering een week uit."
"uittrekken","to take off clothes","trek uit","trok uit","heb uitgetrokken","Trek je natte jas even uit."
"uitzoeken","to find out - to sort out","zoek uit","zocht uit","heb uitgezocht","Ik zoek de beste optie voor je uit."
"vasthouden","to hold on","houd vast","hield vast","heb vastgehouden","Houd het touw alsjeblieft goed vast."
"vastmaken","to fasten","maak vast","maakte vast","heb vastgemaakt","Maak je gordel even goed vast."
"voorbereiden","to prepare","bereid voor","bereidde voor","heb voorbereid","Ik bereid de les goed voor."
"voorlezen","to read aloud","lees voor","las voor","heb voorgelezen","Ik lees mijn kind een verhaaltje voor."
"wegbrengen","to take away","breng weg","bracht weg","heb weggebracht","Ik breng het oud papier weg."
"weggooien","to throw away","gooi weg","gooide weg","heb weggegooid","Gooi de lege flessen niet weg."
"weghalen","to remove","haal weg","haalde weg","heb weggehaald","Haal je spullen van de tafel weg."
"weglopen","to walk away","loop weg","liep weg","ben weggelopen","De hond loopt soms van huis weg."
"invoeren","to enter data - to introduce","voer in","voerde in","heb ingevoerd","Ik voer mijn gegevens in het systeem in."
"inschenken","to pour","schenk in","schonk in","heb ingeschonken","Zal ik je nog koffie inschenken?"
"indelen","to arrange - to divide","deel in","deelde in","heb ingedeeld","Ik deel mijn werkweek handig in."
"inladen","to load","laad in","laadde in","heb ingeladen","We laden de auto helemaal vol in."
"opvolgen","to follow up - to succeed","volg op","volgde op","heb opgevolgd","Ik volg het advies van de dokter op."
"doormaken","to go through","maak door","maakte door","heb doorgemaakt","Hij maakt een moeilijke tijd door."
"rondkijken","to look around","kijk rond","keek rond","heb rondgekeken","Ik kijk even rustig rond in de winkel."
"terugvinden","to find again","vind terug","vond terug","heb teruggevonden","Ik vind mijn sleutels niet meer terug."
"verdergaan","to continue","ga verder","ging verder","ben verdergegaan","We gaan na de pauze rustig verder."
"aarzelen","to hesitate","aarzel","aarzelde","heb geaarzeld","Ik aarzel om hem te bellen."
"antwoorden","to answer","antwoord","antwoordde","heb geantwoord","Hij antwoordt niet op mijn vraag."
"bedienen","to operate - to serve","bedien","bediende","heb bediend","De ober bedient ons heel snel."
"bedreigen","to threaten","bedreig","bedreigde","heb bedreigd","De man bedreigt de jonge winkelier."
"bekijken","to look at - to examine","bekijk","bekeek","heb bekeken","Ik bekijk de foto's op mijn telefoon."
"beklimmen","to climb","beklim","beklom","heb beklommen","Wij beklimmen samen de hoge berg."
"beleven","to experience","beleef","beleefde","heb beleefd","We beleven een hele fijne vakantie."
"berekenen","to calculate","bereken","berekende","heb berekend","Ik bereken snel de totale prijs."
"beschadigen","to damage","beschadig","beschadigde","heb beschadigd","De storm beschadigt veel oude daken."
"beschermen","to protect","bescherm","beschermde","heb beschermd","Een helm beschermt je hoofd goed."
"beslissen","to decide","beslis","besliste","heb beslist","Ik beslis morgen over de baan."
"besteden","to spend","besteed","besteedde","heb besteed","Ik besteed veel tijd aan sport."
"bezorgen","to deliver","bezorg","bezorgde","heb bezorgd","De post bezorgt het pakket vandaag."
"botsen","to collide","bots","botste","ben gebotst","De twee auto's botsen op de kruising."
"branden","to burn","brand","brandde","heb gebrand","Het kaarsje brandt de hele avond."
"buigen","to bend","buig","boog","heb gebogen","Ik buig voorover om de bal te pakken."
"dekken","to cover - to set the table","dek","dekte","heb gedekt","Ik dek de tafel voor het diner."
"delen","to share - to divide","deel","deelde","heb gedeeld","We delen de pizza eerlijk samen."
"dienen","to serve","dien","diende","heb gediend","Dit formulier dient als geldig bewijs."
"doneren","to donate","doneer","doneerde","heb gedoneerd","Ik doneer geld aan een goed doel."
"dromen","to dream","droom","droomde","heb gedroomd","Ik droom vaak over verre reizen."
"drogen","to dry","droog","droogde","heb gedroogd","Ik droog mijn haar met een föhn."
"drukken","to press","druk","drukte","heb gedrukt","Druk maar even op de groene knop."
"duwen","to push","duw","duwde","heb geduwd","Hij duwt de zware kar vooruit."
"fluiten","to whistle","fluit","floot","heb gefloten","De scheidsrechter fluit voor de pauze."
"fotograferen","to photograph","fotografeer","fotografeerde","heb gefotografeerd","Ik fotografeer graag oude gebouwen."
"gillen","to scream","gil","gilde","heb gegild","Het meisje gilt van pure schrik."
"glimlachen","to smile","glimlach","glimlachte","heb geglimlacht","Zij glimlacht vriendelijk naar me."
"gokken","to gamble - to guess","gok","gokte","heb gegokt","Hij gokt te veel geld in het casino."
"graven","to dig","graaf","groef","heb gegraven","De hond graaft een gat in de tuin."
"hopen","to hope","hoop","hoopte","heb gehoopt","Ik hoop op beter weer morgen."
"informeren","to inform - to inquire","informeer","informeerde","heb geïnformeerd","Ik informeer naar de openingstijden."
"jagen","to hunt","jaag","jaagde","heb gejaagd","De kat jaagt op een kleine vogel."
"keren","to turn","keer","keerde","heb gekeerd","Ik keer de auto op de oprit."
"klappen","to clap","klap","klapte","heb geklapt","Het publiek klapt enthousiast voor hem."
"kleuren","to colour","kleur","kleurde","heb gekleurd","Het kind kleurt de tekening mooi in."
"knijpen","to pinch","knijp","kneep","heb geknepen","Hij knijpt zachtjes in mijn arm."
"knikken","to nod","knik","knikte","heb geknikt","Zij knikt vriendelijk van ja."
"knuffelen","to cuddle","knuffel","knuffelde","heb geknuffeld","Ik knuffel mijn kleine zoontje."
"kosten","to cost","kost","kostte","heeft gekost","Deze warme jas kost veertig euro."
"krabben","to scratch","krab","krabde","heb gekrabd","De kat krabt aan de oude bank."
"kruipen","to crawl","kruip","kroop","ben gekropen","De baby kruipt over de hele vloer."
"laden","to load","laad","laadde","heb geladen","Ik laad de boodschappen in de auto."
"landen","to land","land","landde","ben geland","Het vliegtuig landt keurig op tijd."
"leveren","to supply","lever","leverde","heb geleverd","De fabriek levert goede producten."
"lijden","to suffer","lijd","leed","heb geleden","Hij lijdt aan een ernstige ziekte."
"lokken","to lure","lok","lokte","heb gelokt","De aanbieding lokt veel nieuwe klanten."
"loslaten","to let go","laat los","liet los","heb losgelaten","Laat mijn arm nu eindelijk los."
"losmaken","to loosen","maak los","maakte los","heb losgemaakt","Ik maak de strakke knoop los."
"meten","to measure","meet","mat","heb gemeten","Ik meet de lengte van de kamer."
"mengen","to mix","meng","mengde","heb gemengd","Ik meng de eieren met de melk."
"mikken","to aim","mik","mikte","heb gemikt","Hij mikt precies op het doel."
"mompelen","to mumble","mompel","mompelde","heb gemompeld","Hij mompelt iets onverstaanbaars."
"monteren","to assemble","monteer","monteerde","heb gemonteerd","Ik monteer de nieuwe kast helemaal zelf."
"motiveren","to motivate","motiveer","motiveerde","heb gemotiveerd","De coach motiveert het hele team."
"omhelzen","to embrace","omhels","omhelsde","heb omhelsd","Ze omhelst haar oude vriendin warm."
"omschrijven","to describe","omschrijf","omschreef","heb omschreven","Omschrijf het probleem even in het kort."
"planten","to plant","plant","plantte","heb geplant","We planten een boom in de tuin."
"plakken","to stick - to glue","plak","plakte","heb geplakt","Ik plak de postzegel op de envelop."
"plassen","to pee","plas","plaste","heb geplast","Het kind moet heel nodig plassen."
"plukken","to pick","pluk","plukte","heb geplukt","We plukken appels in de boomgaard."
"prikken","to prick","prik","prikte","heb geprikt","De verpleegster prikt in mijn arm."
"raden","to guess","raad","raadde","heb geraden","Raad eens wat ik gekocht heb."
"reageren","to react","reageer","reageerde","heb gereageerd","Hij reageert snel op mijn bericht."
"redden","to save - to rescue","red","redde","heb gered","De brandweer redt de kat uit de boom."
"repareren","to repair","repareer","repareerde","heb gerepareerd","Ik repareer mijn kapotte fiets zelf."
"roepen","to call - to shout","roep","riep","heb geroepen","Hij roept hard om dringende hulp."
"roeren","to stir","roer","roerde","heb geroerd","Ik roer de soep goed door."
"roeien","to row","roei","roeide","heb geroeid","We roeien samen over het stille meer."
"rollen","to roll","rol","rolde","is gerold","De bal rolt onder de tafel."
"schenken","to pour - to donate","schenk","schonk","heb geschonken","Ik schenk de gasten wat lekkere wijn."
"scheuren","to tear","scheur","scheurde","heb gescheurd","Ik scheur het papier netjes doormidden."
"schieten","to shoot","schiet","schoot","heb geschoten","De jager schiet op een snelle haas."
"schillen","to peel","schil","schilde","heb geschild","Ik schil de aardappels voor het eten."
"schoppen","to kick","schop","schopte","heb geschopt","Hij schopt de bal in het doel."
"schrikken","to be startled","schrik","schrok","ben geschrokken","Ik schrik van het harde geluid."
"schudden","to shake","schud","schudde","heb geschud","Schud de fles goed voor gebruik."
"schuiven","to slide - to push","schuif","schoof","heb geschoven","Ik schuif de stoel naar achteren."
"serveren","to serve","serveer","serveerde","heb geserveerd","De ober serveert het warme diner."
"slepen","to drag","sleep","sleepte","heb gesleept","Ik sleep de zware tas naar binnen."
"slikken","to swallow","slik","slikte","heb geslikt","Ik slik elke ochtend een pil."
"smelten","to melt","smelt","smolt","is gesmolten","De sneeuw smelt snel in de zon."
"smeren","to spread - to grease","smeer","smeerde","heb gesmeerd","Ik smeer wat boter op mijn brood."
"spoelen","to rinse","spoel","spoelde","heb gespoeld","Ik spoel de borden onder de kraan."
"spuiten","to spray - to inject","spuit","spoot","heb gespoten","De tuinman spuit water op de planten."
"spugen","to spit","spuug","spuugde","heb gespuugd","Het is onbeleefd om te spugen."
"stampen","to stamp","stamp","stampte","heb gestampt","Het kind stampt boos op de grond."
"stappen","to step","stap","stapte","ben gestapt","Ik stap rustig uit de auto."
"steken","to sting - to put","steek","stak","heb gestoken","Een bij steekt me in mijn arm."
"steunen","to support","steun","steunde","heb gesteund","Mijn ouders steunen mij altijd."
"stralen","to shine - to beam","straal","straalde","heb gestraald","Zij straalt helemaal van geluk."
"strelen","to caress","streel","streelde","heb gestreeld","Ik streel zachtjes de oude poes."
"strooien","to sprinkle","strooi","strooide","heb gestrooid","Ik strooi suiker op de pannenkoek."
"struikelen","to stumble","struikel","struikelde","ben gestruikeld","Ik struikel over de losse stoeptegel."
"studeren","to study","studeer","studeerde","heb gestudeerd","Ik studeer geschiedenis in Leiden."
"tanken","to refuel","tank","tankte","heb getankt","Ik tank de auto vol benzine."
"tellen","to count","tel","telde","heb geteld","Ik tel het geld in mijn portemonnee."
"tikken","to tap - to type","tik","tikte","heb getikt","Hij tikt zenuwachtig op de tafel."
"trainen","to train","train","trainde","heb getraind","Ik train elke week in de sportschool."
"trappen","to kick - to pedal","trap","trapte","heb getrapt","Hij trapt hard tegen de bal."
"trekken","to pull","trek","trok","heb getrokken","Ik trek hard aan het dikke touw."
"trillen","to tremble","tril","trilde","heb getrild","Mijn handen trillen van de kou."
"tuinieren","to garden","tuinier","tuinierde","heb getuinierd","Mijn oma tuiniert graag in de zomer."
"twijfelen","to doubt","twijfel","twijfelde","heb getwijfeld","Ik twijfel nog over mijn keuze."
"vegen","to sweep","veeg","veegde","heb geveegd","Ik veeg de hele vloer goed schoon."
"verbergen","to hide","verberg","verborg","heb verborgen","Hij verbergt het cadeau in de kast."
"verbranden","to burn","verbrand","verbrandde","heb verbrand","Ik verbrand al het oude papier."
"verdelen","to divide - to distribute","verdeel","verdeelde","heb verdeeld","We verdelen het werk heel eerlijk."
"verdrinken","to drown","verdrink","verdronk","ben verdronken","Pas op dat je niet verdrinkt."
"verdwijnen","to disappear","verdwijn","verdween","ben verdwenen","Mijn sleutels verdwijnen steeds weer."
"vergeven","to forgive","vergeef","vergaf","heb vergeven","Ik vergeef je deze ene keer."
"verlangen","to long for","verlang","verlangde","heb verlangd","Ik verlang erg naar de zomer."
"verlaten","to leave - to abandon","verlaat","verliet","heb verlaten","Ik verlaat het huis om acht uur."
"verlengen","to extend","verleng","verlengde","heb verlengd","Ik verleng mijn abonnement met een jaar."
"verontschuldigen","to apologize","verontschuldig","verontschuldigde","heb verontschuldigd","Ik verontschuldig me voor mijn fout."
"verrassen","to surprise","verras","verraste","heb verrast","Ik verras haar met een groot cadeau."
"verspillen","to waste","verspil","verspilde","heb verspild","Verspil alsjeblieft geen kostbaar water."
"verstoppen","to hide","verstop","verstopte","heb verstopt","Ik verstop het snoep voor de kinderen."
"vertrouwen","to trust","vertrouw","vertrouwde","heb vertrouwd","Ik vertrouw mijn beste vriend volledig."
"vervelen","to be bored","verveel","verveelde","heb verveeld","Ik verveel me op een regenachtige dag."
"verzinnen","to make up - to invent","verzin","verzon","heb verzonnen","Hij verzint een grappig verhaal."
"verzorgen","to take care of","verzorg","verzorgde","heb verzorgd","Ik verzorg de planten elke dag."
"voeden","to feed","voed","voedde","heb gevoed","Zij voedt de baby met warme melk."
"zagen","to saw","zaag","zaagde","heb gezaagd","Hij zaagt de plank netjes doormidden."
"zeilen","to sail","zeil","zeilde","heb gezeild","We zeilen op het grote, ruime meer."
"zetten","to put - to set","zet","zette","heb gezet","Ik zet de vaas voorzichtig op tafel."
"zinken","to sink","zink","zonk","is gezonken","De oude houten boot zinkt langzaam."
"zuchten","to sigh","zucht","zuchtte","heb gezucht","Hij zucht diep van vermoeidheid."
"zuigen","to suck","zuig","zoog","heb gezogen","De stofzuiger zuigt het tapijt schoon."
"zwaaien","to wave","zwaai","zwaaide","heb gezwaaid","Ik zwaai naar al mijn vrienden."
"zweten","to sweat","zweet","zweette","heb gezweet","Ik zweet veel tijdens het sporten."
