"dutch","english","example"
"huidig","current","De huidige situatie is best lastig."
"dagelijks","daily","Sporten is voor hem een dagelijkse gewoonte."
"wekelijks","weekly","We hebben een wekelijkse vergadering op maandag."
"maandelijks","monthly","De huur betaal ik maandelijks."
"jaarlijks","yearly","Het dorp houdt een jaarlijks zomerfeest."
"eerste","first","Dit is mijn eerste dag hier."
"laatste","last","We pakten net de laatste bus."
"bovenste","top","Het glas staat op de bovenste plank."
"onderste","bottom","Mijn sokken liggen in de onderste la."
"middelste","middle","Het middelste kind lijkt op zijn vader."
"voorste","front","Wij zaten op de voorste rij."
"achterste","rear","De fiets staat in de achterste schuur."
"hard","hard, loud","De muziek staat veel te hard."
"ondiep","shallow","Aan deze kant is het water ondiep."
"comfortabel","comfortable","Deze oude stoel zit heel comfortabel."
"benauwd","stuffy","In de volle bus was het benauwd."
"ruim","spacious","Hun nieuwe huis is licht en ruim."
"krap","cramped","Onze oude badkamer was erg krap."
"modieus","fashionable","Ze draagt altijd modieuze kleren."
"krullend","curly","Het meisje heeft lang krullend haar."
"optimistisch","optimistic","Hij blijft over de toekomst optimistisch."
"pessimistisch","pessimistic","Waarom ben je toch zo pessimistisch?"
"sportief","sporty","Mijn zus is heel sportief en fit."
"muzikaal","musical","Hun hele familie is erg muzikaal."
"fit","fit","Na de vakantie voel ik me fit."
"glanzend","shiny","De auto was schoon en glanzend."
"dof","dull","De oude munt was mat en dof."
"pluizig","fluffy","De kat heeft een zachte, pluizige vacht."
"plakkerig","sticky","Mijn handen zijn van het snoep plakkerig."
"stinkend","stinking","Bij de vuilnis hing een stinkende lucht."
"gestrest","stressed","Voor het examen was zij erg gestrest."
"verward","confused","Na het slechte nieuws was hij verward."
"hoopvol","hopeful","We kijken hoopvol naar volgend jaar."
"gerust","at ease","Wees maar gerust, alles komt goed."
"onrustig","restless","De zieke patiënt sliep onrustig vannacht."
"ontevreden","dissatisfied","De klant was ontevreden over de service."
"ongelukkig","unhappy","In die baan was hij erg ongelukkig."
"ongezond","unhealthy","Te veel snoep is heel ongezond."
"onveilig","unsafe","Deze drukke weg voelt erg onveilig."
"onbeleefd","impolite","Het was onbeleefd om niet te groeten."
"onaardig","unkind","Hij deed onaardig tegen zijn zusje."
"onbelangrijk","unimportant","Die details zijn nu even onbelangrijk."
"ongelijk","wrong","Geef toe dat je ongelijk had."
"onvriendelijk","unfriendly","De verkoper was kort en onvriendelijk."
"ongewoon","unusual","Sneeuw in mei is heel ongewoon."
"gebakken","fried","Bij het ontbijt eet ik gebakken eieren."
"gekookt","boiled","Op brood eet ik graag gekookte eieren."
"gegrild","grilled","We aten gegrilde groenten bij het vlees."
"bevroren","frozen","In de vriezer liggen bevroren groenten."
"gloednieuw","brand new","Hij rijdt in een gloednieuwe auto."
"antiek","antique","In de kamer staat een antieke kast."
"waardeloos","worthless","Mijn oude telefoon is nu waardeloos."
"nutteloos","useless","Verder wachten is gewoon nutteloos."
"duizelig","dizzy","Na de rit was ik een beetje duizelig."
"pijnlijk","painful","De wond aan mijn knie is pijnlijk."
"vergeetachtig","forgetful","Mijn opa wordt de laatste tijd vergeetachtig."
"correct","correct","Vul alstublieft uw correcte adres in."
"onjuist","incorrect","Deze gegevens blijken helaas onjuist."
"elektrisch","electric","Hij rijdt nu op een elektrische fiets."
"automatisch","automatic","De deuren gaan automatisch open."
"digitaal","digital","Ik lees mijn boeken vaak digitaal."
"duf","drowsy","Vanochtend voel ik me een beetje duf."
"klaarwakker","wide awake","Om vijf uur was ik klaarwakker."
"extra","extra","We hebben een extra bed nodig."
"mild","mild","Voor de winter is het zacht en mild."
"Nederlands","Dutch","Wij volgen samen een Nederlandse cursus."
"Belgisch","Belgian","We dronken een lekker Belgisch biertje."
"Engels","English","Zij leest graag Engelse boeken."
"Duits","German","Hij rijdt in een snelle Duitse auto."
"Frans","French","We aten in een klein Frans restaurant."
"Spaans","Spanish","Ik hou van warme Spaanse muziek."
"Italiaans","Italian","Vanavond eten we heerlijk Italiaans eten."
"Amerikaans","American","Hij kijkt graag Amerikaanse films."
"Europees","European","Nederland is een klein Europees land."
"Chinees","Chinese","Om de hoek zit een Chinees restaurant."
"stoer","tough - cool","Hij vindt zichzelf heel stoer."
"nodig","necessary","Voor dit recept is veel geduld nodig."
"mogelijk","possible","Is het mogelijk om eerder te komen?"
"nieuwsgierig","curious","Kinderen zijn vaak heel nieuwsgierig."
"verlegen","shy","Hij is verlegen tegenover vreemde mensen."
"eerlijk","honest","Wees altijd eerlijk tegen je vrienden."
"vriendelijk","friendly","De serveerster was heel vriendelijk vandaag."
"beleefd","polite","Hij groette ons heel beleefd."
"lui","lazy","Op zondag ben ik soms lui."
"voorzichtig","careful","Wees voorzichtig op de gladde weg."
"gevaarlijk","dangerous","Hard rijden is heel gevaarlijk."
"veilig","safe","Voel je je hier wel veilig?"
"saai","boring","De vergadering was vreselijk saai."
"grappig","funny","Mijn broer vertelt altijd grappige verhalen."
"serieus","serious","Hij neemt zijn werk heel serieus."
"trots","proud","Ik ben trots op mijn dochter."
"jaloers","jealous","Ze is jaloers op haar zus."
"bang","afraid","Het kind is bang voor honden."
"dapper","brave","De brandweerman was heel dapper."
"slim","smart","Wat een slim idee van jou!"
"dom","stupid","Dat was echt een domme fout."
"breed","wide","De rivier is hier erg breed."
"diep","deep","Het meer is hier heel diep."
"nat","wet","Mijn jas is helemaal nat geworden."
"droog","dry","De grond is na de zomer droog."
"zacht","soft","Dit kussen is lekker zacht."
"scherp","sharp","Pas op, dit mes is scherp."
"aardig","kind","Onze nieuwe buren zijn heel aardig."
"rommelig","messy","Zijn kamer is altijd erg rommelig."
"rond","round","De tafel in de keuken is rond."
"dik","thick, fat","Dit boek is veel te dik."
"dun","thin","Het ijs op de sloot is dun."
"recht","straight","Teken een rechte lijn op papier."
"zoet","sweet","Deze taart is veel te zoet."
"zout","salty","De soep is een beetje zout."
"zuur","sour","Citroenen smaken echt heel zuur."
"bitter","bitter","Sterke koffie smaakt soms bitter."
"vers","fresh","We kopen elke ochtend vers brood."
"stil","quiet","In de bibliotheek is het altijd stil."
"luid","loud","De muziek stond veel te luid."
"helder","clear, bright","De hemel is vannacht heel helder."
"donker","dark","In de winter wordt het vroeg donker."
"modern","modern","Ze wonen in een modern huis."
"simpel","simple","Dit is echt een simpele oplossing."
"normaal","normal","Dat is heel normaal gedrag."
"vreemd","strange","Er hangt een vreemde geur in huis."
"gek","crazy","Wat een gek idee heb jij."
"netjes","neat","Zijn bureau is altijd netjes opgeruimd."
"beroemd","famous","Dit museum heeft beroemde schilderijen."
"bekend","known, familiar","Die zanger is in Nederland bekend."
"onbekend","unknown","Het nummer was mij volledig onbekend."
"populair","popular","Voetbal is hier een populaire sport."
