"dutch","english","example"
"onderling","mutual","De onderlinge verhoudingen zijn goed."
"wederzijds","mutual","Gelukkig is het respect tussen hen wederzijds."
"vergaand","far-reaching","De directie nam vergaande maatregelen."
"grootschalig","large-scale","Er volgde een grootschalig onderzoek."
"kleinschalig","small-scale","Het is een kleinschalig project."
"landelijk","national","De campagne wordt landelijk gevoerd."
"stedelijk","urban","De stedelijke bevolking groeit snel."
"regionaal","regional","Dit is vooral een regionaal probleem."
"internationaal","international","Het bedrijf opereert volledig internationaal."
"mondiaal","global","Klimaatverandering is een mondiaal probleem."
"lokaal","local","We steunen graag de lokale ondernemers."
"centraal","central","Het station ligt heel centraal."
"perifeer","peripheral","Het dorp ligt in een perifeer gebied."
"hedendaags","contemporary","Hij houdt veel van hedendaagse kunst."
"vergankelijk","transient","Alle aardse schoonheid is uiteindelijk vergankelijk."
"duurzaam","sustainable","We kiezen voor duurzame energie."
"houdbaar","tenable","Deze situatie is niet langer houdbaar."
"onhoudbaar","untenable","De situatie werd volkomen onhoudbaar."
"onmisbaar","indispensable","Hij is onmisbaar voor het team."
"vervangbaar","replaceable","Niemand binnen dit team is volledig vervangbaar."
"onvervangbaar","irreplaceable","Dit unieke kunstwerk is werkelijk onvervangbaar."
"onomkeerbaar","irreversible","De schade is helaas onomkeerbaar."
"omkeerbaar","reversible","Het proces is gelukkig omkeerbaar."
"voorspelbaar","predictable","Het einde van de film was voorspelbaar."
"onvoorspelbaar","unpredictable","Het weer is hier erg onvoorspelbaar."
"vermijdbaar","avoidable","Het ongeluk was eenvoudig vermijdbaar."
"onvermijdelijk","inevitable","Een gewapend conflict leek onvermijdelijk."
"aanvaardbaar","acceptable","Het risico is nog net aanvaardbaar."
"onaanvaardbaar","unacceptable","Dit gedrag is volstrekt onaanvaardbaar."
"verdedigbaar","defensible","Zijn keuze is goed verdedigbaar."
"onverdedigbaar","indefensible","Die houding is moreel onverdedigbaar."
"begrijpelijk","understandable","Haar boosheid is heel begrijpelijk."
"onbegrijpelijk","incomprehensible","Zijn beslissing was volkomen onbegrijpelijk."
"verklaarbaar","explicable","Het verschijnsel is goed verklaarbaar."
"onverklaarbaar","inexplicable","Het bleef een volstrekt onverklaarbaar mysterie."
"herkenbaar","recognizable","Zijn stijl is meteen herkenbaar."
"meetbaar","measurable","We willen graag meetbare resultaten zien."
"tastbaar","tangible","Er waren tastbare bewijzen van fraude."
"merkbaar","noticeable","De verbetering was duidelijk merkbaar."
"aantoonbaar","demonstrable","Hij heeft aantoonbaar over alles gelogen."
"verwaarloosbaar","negligible","Het verschil is verwaarloosbaar klein."
"doorzichtig","transparent","Het glas is volledig doorzichtig."
"ondoorzichtig","opaque","De procedure is volkomen ondoorzichtig."
"gefundeerd","well-founded","Zijn kritiek was goed gefundeerd."
"onderbouwd","substantiated","Het rapport is degelijk onderbouwd."
"gegrond","well-founded","Achteraf bleek haar angst volkomen gegrond."
"ongegrond","unfounded","De beschuldigingen waren volledig ongegrond."
"terecht","justified","Zijn klacht was volkomen terecht."
"onterecht","unjustified","Hij werd onterecht van diefstal beschuldigd."
"gerechtvaardigd","justified","De maatregel is volledig gerechtvaardigd."
"buitensporig","excessive","De kosten waren buitensporig hoog."
"disproportioneel","disproportionate","De straf was disproportioneel zwaar."
"evenredig","proportional","De beloning is evenredig aan de inzet."
"navenant","correspondingly","De kwaliteit is hoog en de prijs navenant."
"onevenredig","disproportionate","De lasten zijn onevenredig verdeeld."
"vlot","smooth","Het gesprek verliep heel vlot."
"moeizaam","laborious","De onderhandelingen verliepen traag en moeizaam."
"vloeiend","fluent","Zij spreekt vloeiend Frans en Duits."
"gebrekkig","deficient","Zijn kennis van het Duits is gebrekkig."
"feilloos","flawless","Het plan werd feilloos uitgevoerd."
"vlekkeloos","spotless","De hele voorstelling verliep vlekkeloos."
"onberispelijk","impeccable","Zijn manieren zijn werkelijk onberispelijk."
