"dutch","english","example"
"monsterlijk","monstrous","Het wezen had een monsterlijk uiterlijk."
"gedrochtelijk","misshapen","Uit de schaduw kroop een gedrochtelijk beest."
"wanstaltig","deformed","De toren was lelijk en wanstaltig gebouwd."
"mismaakt","disfigured","De arme man had een mismaakt gezicht."
"afzichtelijk","hideous","Het masker was afzichtelijk en angstaanjagend."
"afgrijselijk","atrocious","Het was een afgrijselijke en bloedige aanblik."
"gruwelijk","horrific","Ze beschreef de gruwelijke gebeurtenissen."
"huiveringwekkend","spine-chilling","Het verhaal was werkelijk huiveringwekkend."
"ijzingwekkend","blood-curdling","Een ijzingwekkende gil klonk door de nacht."
"angstaanjagend","terrifying","De donkere kelder was angstaanjagend stil."
"beklemmend","oppressive","In de kleine cel hing een beklemmende sfeer."
"benauwend","stifling","De hitte in de zaal werd benauwend."
"verstikkend","suffocating","De rook werd dik en verstikkend."
"drukkend","muggy","Voor de onweersbui was het drukkend warm."
"loom","languid","Door de hitte voelde iedereen zich loom."
"mat","listless","Na de griep was hij nog slap en mat."
"lusteloos","apathetic","Ze hing lusteloos op de bank."
"futloos","spiritless","De hele dag voelde hij zich futloos."
"levenloos","lifeless","De woestijn lag stil en levenloos."
"verwelkt","wilted","De bloemen in de vaas waren verwelkt."
"verdord","withered","Het verdorde gras kraakte onder onze voeten."
"verlept","faded","De rozen hingen slap en verlept."
"broos","fragile","Het oude papier was geel en broos."
"breekbaar","breakable","De antieke vaas is uiterst breekbaar."
"teer","delicate","De vlinder had tere, doorschijnende vleugels."
"ijl","rarefied","Hoog in de bergen was de lucht ijl."
"etherisch","ethereal","Haar stem klonk zacht en etherisch."
"ongerept","pristine","Het strand lag stil en ongerept."
"maagdelijk","virgin","De maagdelijke sneeuw glinsterde in de zon."
"smetteloos","spotless","Zijn overhemd was smetteloos wit."
"ongeschonden","unblemished","Het schilderij bleef eeuwen ongeschonden."
"onbezoedeld","untainted","Haar reputatie bleef onbezoedeld."
"zuiver","pure","Het bronwater was helder en zuiver."
"louter","sheer","Het was louter toeval dat ze elkaar troffen."
"ongekunsteld","unaffected","Haar charme was natuurlijk en ongekunsteld."
"onopgesmukt","unadorned","Hij vertelde het verhaal onopgesmukt en eerlijk."
"sober","austere","De monnik leidde een sober leven."
"ascetisch","ascetic","Hij koos voor een ascetisch bestaan."
"streng","austere","Het klooster had een strenge inrichting."
"spartaans","spartan","De kamer was kaal en spartaans ingericht."
"desolaat","desolate","Het verlaten dorp zag er desolaat uit."
"verlaten","deserted","De straten lagen er verlaten bij."
"godverlaten","godforsaken","Ze woonden in een godverlaten gehucht."
"afgelegen","remote","De boerderij ligt erg afgelegen."
"onherbergzaam","inhospitable","Het noorden is koud en onherbergzaam."
"woest","wild","De woeste zee beukte op de rotsen."
"ongetemd","untamed","De ongetemde wildernis strekte zich uit."
"onbestendig","unsettled","Het weer was wisselend en onbestendig."
"wisselvallig","fickle","Het Hollandse weer is vaak wisselvallig."
"grillig","capricious","De kustlijn had een grillige vorm."
"nukkig","moody","De oude motor was nukkig en onbetrouwbaar."
"ongedurig","restless","Het kind zat ongedurig op zijn stoel."
"rusteloos","restless","Hij ijsbeerde rusteloos door de kamer."
