"dutch","english","example"
"noodgedwongen","out of necessity","Hij bleef noodgedwongen de hele week thuis."
"vrijwillig","voluntarily","Hij meldde zich vrijwillig voor de taak aan."
"steekproefsgewijs","by sampling","We controleren de dozen steekproefsgewijs."
"druppelsgewijs","in dribs and drabs","De gasten kwamen druppelsgewijs binnen."
"groepsgewijs","in groups","De leerlingen werken vandaag groepsgewijs."
"paarsgewijs","in pairs","Ze liepen netjes paarsgewijs naar binnen."
"puntsgewijs","point by point","Hij behandelde alle zaken puntsgewijs."
"fasegewijs","in phases","Het wordt fasegewijs in het land ingevoerd."
"gefaseerd","in phases","De hele invoering verloopt keurig gefaseerd."
"stuksgewijs","piece by piece","De koekjes worden stuksgewijs verkocht."
"urenlang","for hours","Ze praatten urenlang over vroeger door."
"dagenlang","for days","Het regende dagenlang onafgebroken door."
"jarenlang","for years","Hij werkte jarenlang in het verre buitenland."
"wekenlang","for weeks","Ze was wekenlang ernstig ziek thuis."
"maandenlang","for months","De renovatie duurde uiteindelijk maandenlang."
"eindeloos","endlessly","De saaie vergadering duurde welhaast eindeloos."
"onafgebroken","uninterruptedly","Hij werkte onafgebroken aan zijn boek door."
"ononderbroken","continuously","De grote machine draait ononderbroken door."
"pal","right","Hij stond pal achter haar moeilijke besluit."
"lijnrecht","diametrically","Dat staat lijnrecht tegenover mijn mening."
"haaks","at odds","Dat staat haaks op alles wat hij beloofde."
"dwars","contrarily","Hij ligt altijd dwars in elke vergadering."
"schuin","diagonally","Hij woont schuin tegenover onze school."
"overlangs","lengthwise","Snijd de courgette eerst overlangs door."
"rechtop","upright","Ga alsjeblieft eens netjes rechtop zitten."
"ondersteboven","upside down","Het oude schilderij hing ondersteboven."
"achterstevoren","back to front","Hij had zijn warme trui achterstevoren aan."
"binnenstebuiten","inside out","Zijn jas zat de hele dag binnenstebuiten."
"zijdelings","sideways","Hij keek haar slechts zijdelings even aan."
"terzijde","aside","Hij schoof het lastige probleem terzijde."
"ter plekke","on the spot","Hij betaalde de boete meteen ter plekke."
"ter plaatse","on site","De brandweer was snel ter plaatse aanwezig."
"te over","in abundance","Er waren die dag problemen te over."
"redelijkerwijs","reasonably","Dat kun je redelijkerwijs niet van hem eisen."
"billijkerwijs","fairly","Billijkerwijs moet hij ook gewoon meebetalen."
"gewoonweg","simply","Het uitzicht was gewoonweg adembenemend mooi."
"enkel","only","Het was enkel een groot misverstand, niets meer."
"puur","purely","Het was puur toeval dat we elkaar zagen."
"uitsluitend","exclusively","Dit terras is uitsluitend voor leden."
"speciaal","especially","Ik kwam vandaag speciaal voor jou langs."
"van harte","wholeheartedly","Ik feliciteer je van harte met je diploma."
"gaarne","gladly","Ik help u uiteraard gaarne verder."
"met klem","urgently","Ik verzoek u met klem morgen te komen."
"dringend","urgently","Ik moet je vandaag nog dringend spreken."
"met spoed","urgently","Stuur dat document alsjeblieft met spoed op."
"ijlings","hastily","Hij vertrok ijlings naar het ziekenhuis."
"hals over kop","headlong","Ze vertrokken hals over kop op vakantie."
"in allerijl","in great haste","Hij kwam in allerijl weer naar huis terug."
"gevoeglijk","safely","Dat detail kan gevoeglijk worden weggelaten."
"heinde en ver","far and wide","Mensen kwamen van heinde en ver naar het feest."
"wijd en zijd","far and wide","Het nieuws verspreidde zich wijd en zijd."
"per saldo","on balance","Per saldo hield hij er niets aan over."
"alles welbeschouwd","all things considered","Alles welbeschouwd ging het toch goed."
"bij nader inzien","on second thought","Bij nader inzien blijf ik vanavond thuis."
"terugblikkend","in retrospect","Terugblikkend was het een uitstekend besluit."
"vooruitlopend","anticipating","Vooruitlopend daarop begin ik vast alvast."
"andermaal","once again","Hij werd andermaal zwaar teleurgesteld."
"telkenmale","every time","Telkenmale faalde het verouderde systeem."
"keer op keer","time after time","Keer op keer maakte hij dezelfde fout."
"bij vlagen","in bursts","Het waaide die middag bij vlagen erg hard."
"met tussenpozen","intermittently","De regen viel de hele dag met tussenpozen."
"bij gelegenheid","on occasion","Kom bij gelegenheid nog eens gezellig langs."
"in voorkomend geval","where applicable","In voorkomend geval geldt een extra toeslag."
