"dutch","english","article","plural","example"
"aangifte","report","de","aangiftes","Zij deed aangifte van de diefstal."
"bewijs","evidence","het","bewijzen","Het bewijs tegen de verdachte was overtuigend."
"verdachte","suspect","de","verdachten","De verdachte ontkende elke betrokkenheid."
"epidemie","epidemic","de","epidemieën","De epidemie verspreidde zich razendsnel."
"virus","virus","het","virussen","Het virus muteert voortdurend."
"vaccin","vaccine","het","vaccins","Het nieuwe vaccin biedt goede bescherming."
"besmetting","infection","de","besmettingen","Het aantal besmettingen loopt weer op."
"diagnose","diagnosis","de","diagnoses","De diagnose kwam helaas heel laat."
"symptoom","symptom","het","symptomen","Koorts is een veelvoorkomend symptoom."
"therapie","therapy","de","therapieën","De therapie hielp haar uitstekend."
"verslaving","addiction","de","verslavingen","Een verslaving is moeilijk te doorbreken."
"levensverwachting","life expectancy","de","levensverwachtingen","De levensverwachting stijgt in rijke landen."
"geboorte","birth","de","geboortes","De geboorte van het kind was zwaar."
"begrip","concept","het","begrippen","Dit begrip is lastig uit te leggen."
"betekenis","meaning","de","betekenissen","De betekenis van het woord is onduidelijk."
"waarde","value","de","waarden","Eerlijkheid is voor haar een belangrijke waarde."
"norm","norm","de","normen","De norm voor geluid wordt overschreden."
"principe","principle","het","principes","Hij houdt strikt vast aan zijn principes."
"idee","idea","het","ideeën","Dat is een uitstekend idee."
"theorie","theory","de","theorieën","De theorie wordt door experimenten ondersteund."
"model","model","het","modellen","Het model voorspelt het weer nauwkeurig."
"methode","method","de","methodes","Deze methode werkt sneller dan de oude."
"systeem","system","het","systemen","Het systeem loopt regelmatig vast."
"structuur","structure","de","structuren","De structuur van de organisatie verandert."
"proces","process","het","processen","Het hele proces duurt enkele weken."
"factor","factor","de","factoren","Geluk speelt vaak een grote factor."
"aspect","aspect","het","aspecten","Dit aspect verdient meer aandacht."
"kenmerk","feature","het","kenmerken","Geduld is een belangrijk kenmerk van haar."
"eigenschap","property","de","eigenschappen","Deze stof heeft bijzondere eigenschappen."
"voorwaarde","condition","de","voorwaarden","Aan deze voorwaarde kan ik niet voldoen."
"mogelijkheid","possibility","de","mogelijkheden","Er zijn verschillende mogelijkheden om te kiezen."
"kans","chance","de","kansen","De kans op succes is vrij groot."
"risico","risk","het","risico's","Het risico op letsel is klein."
"gevaar","danger","het","gevaren","Het gevaar van overstroming neemt toe."
"voordeel","advantage","het","voordelen","Een groot voordeel is de lage prijs."
"nadeel","disadvantage","het","nadelen","Het enige nadeel is de afstand."
"kwaliteit","quality","de","kwaliteiten","De kwaliteit van het product is hoog."
"doelstelling","objective","de","doelstellingen","De doelstelling van het project is helder."
"strategie","strategy","de","strategieën","De nieuwe strategie levert al resultaat op."
"planning","planning","de","planningen","De planning liep helaas in de war."
"beslissing","decision","de","beslissingen","De beslissing viel na lang overleg."
"besluit","resolution","het","besluiten","De raad nam een belangrijk besluit."
"keuze","choice","de","keuzes","De keuze tussen beide banen is lastig."
"oordeel","judgement","het","oordelen","Het oordeel van de jury was unaniem."
"indruk","impression","de","indrukken","Hij maakte een goede eerste indruk."
"verwachting","expectation","de","verwachtingen","De verwachting was hoger dan het resultaat."
"twijfel","doubt","de","twijfels","Er bestaat geen enkele twijfel over."
"zekerheid","certainty","de","zekerheden","Niemand kan je die zekerheid geven."
"onzekerheid","uncertainty","de","onzekerheden","De onzekerheid over de toekomst groeit."
"behoefte","need","de","behoeften","Er is grote behoefte aan betaalbare woningen."
"eis","demand","de","eisen","De vakbond stelt strenge eisen."
"vereiste","requirement","het","vereisten","Een diploma is een belangrijk vereiste."
"criterium","criterion","het","criteria","Prijs is niet het enige criterium."
"vervuiling","pollution","de","vervuilingen","De vervuiling van de rivier is ernstig."
"broeikaseffect","greenhouse effect","het","broeikaseffecten","Het broeikaseffect versterkt de opwarming."
"grondstof","raw material","de","grondstoffen","Olie is een belangrijke grondstof."
"natuurgebied","nature reserve","het","natuurgebieden","Dit natuurgebied is streng beschermd."
"ecosysteem","ecosystem","het","ecosystemen","Het ecosysteem van het rif is kwetsbaar."
"technologie","technology","de","technologieën","De nieuwe technologie verandert ons werk."
"innovatie","innovation","de","innovaties","Het bedrijf leeft van voortdurende innovatie."
"vaardigheid","skill","de","vaardigheden","Een goede vaardigheid is veel waard."
"competentie","competence","de","competenties","Deze functie vraagt om brede competenties."
"talent","talent","het","talenten","Zij heeft een groot talent voor muziek."
"prestatie","performance","de","prestaties","Zijn prestatie was werkelijk indrukwekkend."
"niveau","level","het","niveaus","Het niveau van de cursus is hoog."
"minderheid","minority","de","minderheden","Deze minderheid voelt zich vaak achtergesteld."
"meerderheid","majority","de","meerderheden","Een ruime meerderheid steunde het voorstel."
"gemeenschap","community","de","gemeenschappen","De lokale gemeenschap is hecht."
"individu","individual","het","individuen","Elk individu telt in onze samenleving."
"gezin","household family","het","gezinnen","Het jonge gezin zoekt een grotere woning."
"opvoeding","upbringing","de","opvoedingen","Een goede opvoeding vraagt veel geduld."
"traditie","tradition","de","tradities","Deze traditie bestaat al eeuwen."
"cultuur","culture","de","culturen","Elke cultuur kent eigen gewoonten."
"religie","religion","de","religies","De vrijheid van religie is grondwettelijk."
"taal","language","de","talen","Nederlands is een mooie taal."
"dialect","dialect","het","dialecten","In het zuiden spreekt men een ander dialect."
"toespraak","speech","de","toespraken","De president hield een lange toespraak."
"bijdrage","contribution","de","bijdragen","Zijn bijdrage aan het project was groot."
"evenwicht","balance","het","evenwichten","Het evenwicht tussen werk en rust ontbreekt."
"spanning","tension","de","spanningen","De spanning tussen beide landen liep op."
"crisis","crisis","de","crises","De financiële crisis trof miljoenen mensen."
"ramp","disaster","de","rampen","De natuurramp eiste veel slachtoffers."
"noodtoestand","state of emergency","de","noodtoestanden","De regering riep de noodtoestand uit."
"protest","protest","het","protesten","Het protest tegen de wet groeide snel."
"betoging","demonstration","de","betogingen","De betoging verliep volledig vreedzaam."
"demonstratie","demonstration","de","demonstraties","De demonstratie trok duizenden mensen."
"beweging","movement","de","bewegingen","De groene beweging wint aan invloed."
"actie","campaign action","de","acties","De actie voor schoon water slaagde."
"campagne","campaign","de","campagnes","De campagne tegen roken was succesvol."
"boodschap","message","de","boodschappen","Zijn boodschap kwam helder over."
"standpunt","standpoint","het","standpunten","De partij wijzigde plotseling haar standpunt."
"belofte","promise","de","beloftes","De politicus brak zijn belangrijkste belofte."
"toezegging","pledge","de","toezeggingen","De minister deed een belangrijke toezegging."
"regeling","arrangement","de","regelingen","De nieuwe regeling geldt vanaf januari."
"voorziening","provision","de","voorzieningen","De wijk mist basale voorzieningen."
"dienst","service","de","diensten","De gemeente verleent veel digitale diensten."
"aanvraag","application","de","aanvragen","De aanvraag voor subsidie werd afgewezen."
"vergunning","permit","de","vergunningen","Voor de verbouwing is een vergunning nodig."
"procedure","procedure","de","procedures","De procedure duurt enkele maanden."
"termijn","term","de","termijnen","De termijn voor bezwaar verstrijkt morgen."
"overzicht","overview","het","overzichten","Het overzicht toont alle uitgaven."
"rapport","report","het","rapporten","Het rapport bevat scherpe conclusies."
"verslag","account","het","verslagen","Zij schreef een verslag van de vergadering."
"enquête","survey","de","enquêtes","Uit de enquête blijkt veel ontevredenheid."
"statistiek","statistic","de","statistieken","De statistiek bevestigt de neergaande trend."
"gegeven","datum","het","gegevens","De gegevens worden vertrouwelijk behandeld."
"percentage","percentage","het","percentages","Een groot percentage stemde tegen."
"gemiddelde","average","het","gemiddelden","Het gemiddelde ligt boven de norm."
"uitgave","expenditure","de","uitgaven","De uitgaven overstijgen dit jaar de inkomsten."
"belastingdienst","tax office","de","belastingdiensten","De belastingdienst controleert zijn aangifte."
"toeslag","allowance","de","toeslagen","Zij ontvangt een toeslag voor de huur."
"premie","premium","de","premies","De premie van de verzekering stijgt."
"pensioenfonds","pension fund","het","pensioenfondsen","Het pensioenfonds belegt het geld voorzichtig."
"aandeelhouder","shareholder","de","aandeelhouders","De aandeelhouder stemde tegen de fusie."
"ondernemer","entrepreneur","de","ondernemers","De ondernemer startte een nieuw bedrijf."
"onderneming","enterprise","de","ondernemingen","De onderneming breidt fors uit."
"vakgebied","field of expertise","het","vakgebieden","Zij is expert op haar vakgebied."
"controle","control","de","controles","De controle aan de grens duurde lang."
"inspectie","inspection","de","inspecties","De inspectie ontdekte ernstige gebreken."
"keuring","examination","de","keuringen","De auto slaagde voor de keuring."
"richtlijn","guideline","de","richtlijnen","De richtlijn schrijft strikte hygiëne voor."
"voorschrift","regulation","het","voorschriften","Iedereen moet de voorschriften naleven."
"reglement","rules","het","reglementen","Het reglement verbiedt roken in het gebouw."
"statuut","statute","het","statuten","De statuten regelen de werkwijze van de vereniging."
"handeling","action","de","handelingen","Deze handeling vereist veel concentratie."
"ingreep","intervention","de","ingrepen","De medische ingreep verliep voorspoedig."
"maatstaf","standard","de","maatstaven","Geld is voor hem geen maatstaf."
