"dutch","english","article","plural","example"
"toetsing","review","de","toetsingen","De toetsing van het beleid vindt jaarlijks plaats."
"afweging","consideration","de","afwegingen","Na zorgvuldige afweging koos hij voor de baan."
"ijkpunt","benchmark","het","ijkpunten","Dit rapport geldt als belangrijk ijkpunt."
"hypothese","hypothesis","de","hypotheses","De hypothese werd door het experiment bevestigd."
"premisse","premise","de","premissen","De redenering steunt op een zwakke premisse."
"axioma","axiom","het","axioma's","Dit axioma vormt de basis van de meetkunde."
"postulaat","postulate","het","postulaten","Het postulaat blijft tot nu toe onbewezen."
"deductie","deduction","de","deducties","Door deductie kwam hij tot de juiste conclusie."
"inductie","induction","de","inducties","Wetenschappelijke kennis berust vaak op inductie."
"abstractie","abstraction","de","abstracties","Wiskunde werkt met een hoog niveau van abstractie."
"synthese","synthesis","de","syntheses","Het essay vormt een synthese van beide theorieën."
"analyse","analysis","de","analyses","De grondige analyse onthulde een verborgen patroon."
"these","thesis","de","theses","Zijn provocerende these riep veel discussie op."
"antithese","antithesis","de","antitheses","De antithese versterkte de retorische kracht."
"terminologie","terminology","de","terminologieën","De juridische terminologie verwart veel leken."
"definitie","definition","de","definities","Een sluitende definitie ontbreekt nog steeds."
"classificatie","classification","de","classificaties","De classificatie van soorten is voortdurend in beweging."
"categorie","category","de","categorieën","Dit verschijnsel past in geen enkele categorie."
"typologie","typology","de","typologieën","De onderzoeker stelde een nieuwe typologie op."
"taxonomie","taxonomy","de","taxonomieën","De taxonomie ordent de planten systematisch."
"correlatie","correlation","de","correlaties","Er bestaat een sterke correlatie tussen beide variabelen."
"variabele","variable","de","variabelen","De onderzoeker controleerde elke variabele zorgvuldig."
"parameter","parameter","de","parameters","Het model bevat te veel onbekende parameters."
"constante","constant","de","constanten","De zwaartekracht geldt als natuurkundige constante."
"coëfficiënt","coefficient","de","coëfficiënten","De coëfficiënt geeft de sterkte van het verband aan."
"steekproef","sample","de","steekproeven","De steekproef was niet representatief genoeg."
"deugd","virtue","de","deugden","Geduld is in deze tijd een zeldzame deugd."
"ondeugd","vice","de","ondeugden","Hebzucht is een hardnekkige menselijke ondeugd."
"beginsel","principle","het","beginselen","Het beginsel van gelijkheid staat voorop."
"maxime","maxim","de","maximes","Hij leefde naar een strenge morele maxime."
"imperatief","imperative","de","imperatieven","Duurzaamheid is een ethische imperatief geworden."
"gewetensvraag","question of conscience","de","gewetensvragen","De arts worstelde met een lastige gewetensvraag."
"precedent","precedent","het","precedenten","Deze uitspraak schept een gevaarlijk precedent."
"getuigenis","testimony","de","getuigenissen","De getuigenis bleek geloofwaardig en consistent."
"verklaring","statement","de","verklaringen","De verdachte legde een uitvoerige verklaring af."
"dagvaarding","summons","de","dagvaardingen","De dagvaarding werd persoonlijk overhandigd."
"aanklacht","charge","de","aanklachten","De aanklacht wegens fraude werd ingetrokken."
"tenlastelegging","indictment","de","tenlasteleggingen","De tenlastelegging omvatte meerdere feiten."
"verweer","defence","het","verweren","Het verweer van de advocaat was zwak."
"pleidooi","plea","het","pleidooien","Haar pleidooi voor mildheid maakte indruk."
"cassatie","cassation","de","cassaties","De verdediging ging in cassatie."
"arrest","ruling","het","arresten","Het arrest van de Hoge Raad is bindend."
"beschikking","decree","de","beschikkingen","De rechter gaf een tijdelijke beschikking af."
"verordening","regulation","de","verordeningen","De Europese verordening geldt in alle lidstaten."
"decreet","decree","het","decreten","Het koninklijk decreet trad meteen in werking."
"mandaat","mandate","het","mandaten","De gezant kreeg een ruim mandaat."
"volmacht","power of attorney","de","volmachten","Zij verleende haar zoon een volledige volmacht."
"aansprakelijkheid","liability","de","aansprakelijkheden","De fabrikant draagt de volledige aansprakelijkheid."
"nalatigheid","negligence","de","nalatigheden","Door zijn nalatigheid ontstond grote schade."
"vrijspraak","acquittal","de","vrijspraken","De vrijspraak verraste vrijwel iedereen."
"veroordeling","conviction","de","veroordelingen","De veroordeling viel zwaarder uit dan verwacht."
"strafmaat","sentence","de","strafmaten","De strafmaat staat niet in verhouding tot het feit."
"bewindvoerder","administrator","de","bewindvoerders","De bewindvoerder beheert haar financiën."
"monopolie","monopoly","het","monopolies","Het bedrijf bezit bijna een monopolie."
"oligopolie","oligopoly","het","oligopolies","De markt wordt gedomineerd door een oligopolie."
"kartel","cartel","het","kartels","De toezichthouder ontmantelde het illegale kartel."
"fusie","merger","de","fusies","De fusie leverde duizenden ontslagen op."
"overname","takeover","de","overnames","De vijandige overname mislukte uiteindelijk."
"obligatie","bond","de","obligaties","Hij belegt liever in veilige obligaties."
"derivaat","derivative","het","derivaten","Complexe derivaten veroorzaakten de financiële crisis."
"bureaucratie","bureaucracy","de","bureaucratieën","De trage bureaucratie frustreert veel ondernemers."
"hiërarchie","hierarchy","de","hiërarchieën","De strakke hiërarchie remt de creativiteit."
"referendum","referendum","het","referenda","Het referendum leverde een nipte uitslag op."
"grondrecht","fundamental right","het","grondrechten","De vrijheid van meningsuiting is een grondrecht."
"mensenrecht","human right","het","mensenrechten","De organisatie strijdt voor de mensenrechten."
"kiesstelsel","electoral system","het","kiesstelsels","Het kiesstelsel bepaalt de zetelverdeling."
"regeerakkoord","coalition agreement","het","regeerakkoorden","Het regeerakkoord telt meer dan honderd pagina's."
"formatie","formation","de","formaties","De formatie van het kabinet duurde maanden."
"informateur","informateur","de","informateurs","De informateur bracht zijn rapport uit."
"volksraadpleging","plebiscite","de","volksraadplegingen","De volksraadpleging werd grondwettelijk verankerd."
"grammatica","grammar","de","grammatica's","De grammatica van het Nederlands is grillig."
"etymologie","etymology","de","etymologieën","De etymologie van dit woord is onzeker."
"lexicon","lexicon","het","lexicons","Het lexicon van de dichter is rijk."
"idioom","idiom","het","idiomen","Dit idioom laat zich lastig vertalen."
"register","register","het","registers","Hij schakelt moeiteloos tussen verschillende registers."
"connotatie","connotation","de","connotaties","Het woord draagt een negatieve connotatie."
"denotatie","denotation","de","denotaties","De denotatie verschilt van de gevoelswaarde."
"stijlfiguur","figure of speech","de","stijlfiguren","De dichter gebruikt een opvallende stijlfiguur."
"alliteratie","alliteration","de","alliteraties","De alliteratie versterkt het ritme van het gedicht."
"satire","satire","de","satires","De scherpe satire bekritiseerde de macht."
"parodie","parody","de","parodieën","De film is een parodie op klassieke westerns."
"pastiche","pastiche","de","pastiches","Het schilderij is een knappe pastiche."
"genre","genre","het","genres","Dit genre kent strikte conventies."
"motief","motif","het","motieven","Hetzelfde motief keert door de roman terug."
"thematiek","thematics","de","thematieken","De thematiek van vervreemding domineert zijn werk."
"perceptie","perception","de","percepties","Onze perceptie wordt door verwachtingen gekleurd."
"intuïtie","intuition","de","intuïties","Zijn intuïtie bleek opvallend betrouwbaar."
"emotie","emotion","de","emoties","Hij verborg zijn emotie achter een glimlach."
"motivatie","motivation","de","motivaties","Haar motivatie voor de studie is groot."
"frustratie","frustration","de","frustraties","De vertraging veroorzaakte veel frustratie."
"projectie","projection","de","projecties","Zijn oordeel was vooral een projectie."
"regressie","regression","de","regressies","De therapeut bespeurde een lichte regressie."
"socialisatie","socialisation","de","socialisaties","Socialisatie vormt onze normen en waarden."
"stigma","stigma","het","stigma's","Het stigma rond armoede zit diep."
"taboe","taboo","het","taboes","Over dit onderwerp rust nog een taboe."
"identificatie","identification","de","identificaties","De identificatie met de hoofdpersoon is sterk."
"syndroom","syndrome","het","syndromen","Het syndroom kent uiteenlopende symptomen."
"complicatie","complication","de","complicaties","Na de operatie trad een ernstige complicatie op."
"prognose","prognosis","de","prognoses","De prognose voor de patiënt is gunstig."
"antistof","antibody","de","antistoffen","Het lichaam maakt antistoffen tegen het virus."
"weefsel","tissue","het","weefsels","Het beschadigde weefsel herstelt langzaam."
"orgaan","organ","het","organen","Elk orgaan vervult een eigen functie."
"zenuw","nerve","de","zenuwen","De beschadigde zenuw veroorzaakt veel pijn."
"hormoon","hormone","het","hormonen","Dit hormoon regelt de stofwisseling."
"enzym","enzyme","het","enzymen","Het enzym versnelt de chemische reactie."
"molecuul","molecule","het","moleculen","Water bestaat uit kleine moleculen."
"atoom","atom","het","atomen","Elk atoom bevat een kleine kern."
"isotoop","isotope","de","isotopen","Deze isotoop wordt voor datering gebruikt."
"verbinding","compound","de","verbindingen","Deze chemische verbinding is zeer instabiel."
"reactie","reaction","de","reacties","De reactie verloopt sneller bij hitte."
"katalysator","catalyst","de","katalysatoren","De katalysator versnelt het hele proces."
"polymeer","polymer","het","polymeren","Dit polymeer is buigzaam en sterk."
"vraagstuk","problem","het","vraagstukken","Dit ethische vraagstuk kent geen simpel antwoord."
"complexiteit","complexity","de","complexiteiten","De complexiteit van het dossier schrikt af."
"ambiguïteit","ambiguity","de","ambiguïteiten","De ambiguïteit van de tekst leidt tot verwarring."
"subtiliteit","subtlety","de","subtiliteiten","De subtiliteit van zijn humor ontging velen."
"gelaagdheid","layeredness","de","gelaagdheden","De gelaagdheid van de roman vraagt herlezing."
"wisselvalligheid","fickleness","de","wisselvalligheden","De wisselvalligheid van de markt baart zorgen."
"vanzelfsprekendheid","matter of course","de","vanzelfsprekendheden","Vrede is geen vanzelfsprekendheid meer."
"kwetsbaarheid","vulnerability","de","kwetsbaarheden","De kwetsbaarheid van het systeem werd blootgelegd."
"instantie","authority","de","instanties","De bevoegde instantie behandelt de klacht."
"gremium","body","het","gremia","Het besluit viel in een besloten gremium."
"raad","council","de","raden","De raad adviseert de minister gevraagd en ongevraagd."
"commissie","committee","de","commissies","De commissie onderzoekt de gang van zaken."
"comité","committee","het","comités","Het comité organiseert de jaarlijkse herdenking."
"conventie","convention","de","conventies","De internationale conventie verbiedt deze wapens."
"protocol","protocol","het","protocollen","Het strikte protocol werd zorgvuldig gevolgd."
"convenant","covenant","het","convenanten","De partijen ondertekenden een vrijwillig convenant."
"amendement","amendment","het","amendementen","Het amendement haalde geen meerderheid."
"ratificatie","ratification","de","ratificaties","De ratificatie van het verdrag liet lang op zich wachten."
"resolutie","resolution","de","resoluties","De Veiligheidsraad nam een scherpe resolutie aan."
"sanctie","sanction","de","sancties","De sancties troffen vooral de elite."
"embargo","embargo","het","embargo's","Het embargo op wapens werd verlengd."
"moratorium","moratorium","het","moratoria","Er geldt een moratorium op nieuwe vergunningen."
"compromis","compromise","het","compromissen","Het moeizame compromis bevredigde niemand volledig."
"proefschrift","doctoral thesis","het","proefschriften","Zij verdedigt volgende maand haar proefschrift."
"dissertatie","dissertation","de","dissertaties","Zijn dissertatie kreeg lovende kritieken."
"verhandeling","treatise","de","verhandelingen","De verhandeling behandelt een obscuur onderwerp."
"monografie","monograph","de","monografieën","De monografie belicht het hele oeuvre."
"publicatie","publication","de","publicaties","De publicatie veroorzaakte veel ophef."
"citaat","quotation","het","citaten","Het citaat werd uit zijn verband gerukt."
"voetnoot","footnote","de","voetnoten","De cruciale informatie stond in een voetnoot."
"appendix","appendix","de","appendices","De cijfers staan in de appendix achterin."
"bijlage","attachment","de","bijlagen","De bijlage bevat alle relevante gegevens."
"samenvatting","summary","de","samenvattingen","De samenvatting vat de kern bondig samen."
"recensie","review","de","recensies","De recensie was vernietigend maar terecht."
"kritiek","critique","de","kritieken","Zijn kritiek op het beleid was scherp."
"evaluatie","evaluation","de","evaluaties","De evaluatie van het project verliep positief."
"beoordeling","assessment","de","beoordelingen","De beoordeling viel uiteindelijk gunstig uit."
"reproductie","reproduction","de","reproducties","De reproductie van het experiment mislukte."
"replicatie","replication","de","replicaties","De replicatie bevestigde de oorspronkelijke uitkomst."
"falsificatie","falsification","de","falsificaties","Falsificatie is de toets van elke theorie."
"paradigma","paradigm","het","paradigma's","Het oude paradigma maakt plaats voor een nieuw."
"doorbraak","breakthrough","de","doorbraken","De doorbraak in het onderzoek kwam onverwacht."
"mechanisme","mechanism","het","mechanismen","Het mechanisme achter het proces blijft onduidelijk."
"instrument","instrument","het","instrumenten","Dit instrument meet uiterst kleine verschillen."
"apparaat","device","het","apparaten","Het apparaat registreert de hartslag nauwkeurig."
"toestel","apparatus","het","toestellen","Het toestel waarschuwt bij elke storing."
"sensor","sensor","de","sensoren","De sensor reageert op het minste licht."
"processor","processor","de","processoren","De nieuwe processor werkt veel sneller."
"circuit","circuit","het","circuits","Een kortsluiting beschadigde het hele circuit."
"schakeling","circuit arrangement","de","schakelingen","De schakeling werkt alleen bij lage spanning."
"weerstand","resistance","de","weerstanden","De weerstand beperkt de elektrische stroom."
"frequentie","frequency","de","frequenties","De zender werkt op een hoge frequentie."
"amplitude","amplitude","de","amplitudes","De amplitude van de golf nam af."
"golflengte","wavelength","de","golflengtes","Rood licht heeft een lange golflengte."
"trilling","vibration","de","trillingen","De machine veroorzaakt voortdurende trillingen."
"versnelling","acceleration","de","versnellingen","De versnelling van het voertuig was abrupt."
"wrijving","friction","de","wrijvingen","Door wrijving ontstaat warmte."
"gevel","facade","de","gevels","De historische gevel werd zorgvuldig gerestaureerd."
"fundament","foundation","het","fundamenten","Het fundament van het gebouw verzakt."
"constructie","construction","de","constructies","De gewaagde constructie trotseert elke storm."
"ornament","ornament","het","ornamenten","Het barokke ornament siert de gevel."
"fresco","fresco","het","fresco's","Het fresco aan het plafond is verbleekt."
"mozaïek","mosaic","het","mozaïeken","Het Romeinse mozaïek bleef eeuwenlang bewaard."
"sculptuur","sculpture","de","sculpturen","De abstracte sculptuur trok veel bekijks."
"compositie","composition","de","composities","De compositie van het schilderij is uitgebalanceerd."
"proportie","proportion","de","proporties","De proporties van het gebouw zijn perfect."
"symmetrie","symmetry","de","symmetrieën","De symmetrie van de tuin oogt rustgevend."
"contour","contour","de","contouren","De contouren van de heuvels vervaagden langzaam."
"textuur","texture","de","texturen","De ruwe textuur voelt onverwacht zacht."
"denkbeeld","notion","het","denkbeelden","Dat verouderde denkbeeld is allang achterhaald."
"zienswijze","view","de","zienswijzen","Zijn zienswijze wijkt sterk af van de norm."
"gedachtegang","train of thought","de","gedachtegangen","Ik kon zijn ingewikkelde gedachtegang nauwelijks volgen."
"inzicht","insight","het","inzichten","Het boek bood verrassende nieuwe inzichten."
"waarneming","observation","de","waarnemingen","De waarneming weersprak de heersende theorie."
"vooronderstelling","presupposition","de","vooronderstellingen","Elke vraag bevat een verborgen vooronderstelling."
"veralgemening","generalisation","de","veralgemeningen","Een grove veralgemening doet de feiten geweld aan."
"generalisatie","generalisation","de","generalisaties","Deze generalisatie houdt geen stand."
"specificatie","specification","de","specificaties","De technische specificatie ontbrak in het rapport."
"formulering","wording","de","formuleringen","De vage formulering leidde tot misverstanden."
"interpretatie","interpretation","de","interpretaties","Zijn interpretatie van het gedicht is gewaagd."
"duiding","interpretation","de","duidingen","De duiding van de cijfers blijft omstreden."
"toelichting","clarification","de","toelichtingen","Hij gaf een uitvoerige toelichting bij het plan."
"uiteenzetting","exposition","de","uiteenzettingen","Haar heldere uiteenzetting overtuigde de commissie."
"betoog","argument","het","betogen","Zijn betoog miste samenhang en bewijs."
"vertoog","discourse","het","vertogen","Het filosofische vertoog was bijzonder dichtbij."
"discours","discourse","het","discoursen","Het publieke discours verhardt zienderogen."
"naslagwerk","reference work","het","naslagwerken","Dit naslagwerk staat in elke bibliotheek."
"encyclopedie","encyclopedia","de","encyclopedieën","De encyclopedie omvat tientallen dikke delen."
"compendium","compendium","het","compendia","Het compendium bundelt de hele leerstof."
"raamwerk","framework","het","raamwerken","Het theoretisch raamwerk verdient nadere uitwerking."
"kader","framework","het","kaders","Dit valt buiten het kader van mijn onderzoek."
"spectrum","spectrum","het","spectra","Het politieke spectrum is sterk versplinterd."
"continuüm","continuum","het","continua","Tijd vormt een ononderbroken continuüm."
"dimensie","dimension","de","dimensies","Het probleem kent een onverwachte morele dimensie."
"gradatie","gradation","de","gradaties","Tussen beide standpunten bestaan vele gradaties."
"schakering","shade","de","schakeringen","De tekst zit vol fijne schakeringen."
"variatie","variation","de","variaties","De variatie tussen de metingen is groot."
"afwijking","deviation","de","afwijkingen","De afwijking van de norm is significant."
"anomalie","anomaly","de","anomalieën","De onverklaarbare anomalie verraste de onderzoekers."
"patroon","pattern","het","patronen","In de data tekent zich een duidelijk patroon af."
