"dutch","english","article","plural","example"
"meubel","piece of furniture","het","meubels","Dit meubel past niet in de kamer."
"bank","couch","de","banken","We zitten samen op de bank."
"kast","cupboard","de","kasten","De borden staan in de kast."
"bed","bed","het","bedden","Het kind ligt al in bed."
"lamp","lamp","de","lampen","De lamp boven de tafel is kapot."
"gordijn","curtain","het","gordijnen","Doe het gordijn maar even dicht."
"kussen","pillow","het","kussens","Dit kussen is veel te hard."
"spiegel","mirror","de","spiegels","Ze kijkt even snel in de spiegel."
"klok","clock","de","klokken","De klok aan de muur loopt voor."
"schilderij","painting","het","schilderijen","Het schilderij hangt scheef aan de muur."
"koelkast","fridge","de","koelkasten","De melk staat in de koelkast."
"oven","oven","de","ovens","De taart staat al in de oven."
"wasmachine","washing machine","de","wasmachines","De wasmachine is alweer kapot."
"stofzuiger","vacuum cleaner","de","stofzuigers","De stofzuiger maakt veel lawaai."
"huur","rent","de","huren","De huur gaat volgend jaar omhoog."
"hypotheek","mortgage","de","hypotheken","Ze sloten een hypotheek voor het huis."
"verhuizing","move","de","verhuizingen","De verhuizing kostte ons een hele dag."
"maaltijd","meal","de","maaltijden","De warme maaltijd staat klaar."
"ontbijt","breakfast","het","ontbijten","Het ontbijt is bij de prijs inbegrepen."
"lunch","lunch","de","lunches","We eten samen een snelle lunch."
"groente","vegetable","de","groenten","Ik eet elke dag verse groente."
"vis","fish","de","vissen","De vis zwemt rustig in de vijver."
"ei","egg","het","eieren","Ik bak een ei voor het ontbijt."
"suiker","sugar","de","suikers","Doe je suiker in de koffie?"
"pasta","pasta","de","pasta's","Vanavond eten we pasta met tomatensaus."
"aardappel","potato","de","aardappels","De aardappels koken al op het vuur."
"soep","soup","de","soepen","De soep is nog veel te heet."
"saus","sauce","de","sauzen","De saus smaakt een beetje zout."
"drank","drink","de","dranken","Welke drank wil je bij het eten?"
"bier","beer","het","bieren","Hij drinkt een koud bier op het terras."
"wijn","wine","de","wijnen","Deze wijn past goed bij vlees."
"fles","bottle","de","flessen","De fles water is bijna leeg."
"glas","glass","het","glazen","Het glas viel kapot op de vloer."
"bord","plate","het","borden","Het bord staat vol met eten."
"mes","knife","het","messen","Het mes is niet meer scherp."
"vork","fork","de","vorken","Ik eet de aardappels met een vork."
"lepel","spoon","de","lepels","Roer de soep met een lepel."
"pan","pan","de","pannen","De pan staat te koken op het fornuis."
"supermarkt","supermarket","de","supermarkten","De supermarkt is tot tien uur open."
"kassa","checkout","de","kassa's","Bij de kassa staat een lange rij."
"vlucht","flight","de","vluchten","Onze vlucht naar Madrid is vertraagd."
"vliegtuig","airplane","het","vliegtuigen","Het vliegtuig landt over een halfuur."
"luchthaven","airport","de","luchthavens","De luchthaven ligt buiten de stad."
"station","station","het","stations","Ik wacht op je bij het station."
"kaartje","ticket","het","kaartjes","Ik koop een kaartje voor de trein."
"koffer","suitcase","de","koffers","Mijn koffer is veel te zwaar."
"paspoort","passport","het","paspoorten","Mijn paspoort is bijna verlopen."
"grens","border","de","grenzen","We rijden vanmiddag over de grens."
"hotel","hotel","het","hotels","Het hotel ligt vlak bij het strand."
"toerist","tourist","de","toeristen","De stad trekt veel buitenlandse toeristen."
"bezienswaardigheid","sight","de","bezienswaardigheden","Deze kerk is een echte bezienswaardigheid."
"route","route","de","routes","We nemen de snelste route naar huis."
"file","traffic jam","de","files","Op de snelweg staat een lange file."
"snelweg","motorway","de","snelwegen","De snelweg is vandaag erg druk."
"brug","bridge","de","bruggen","De brug over de rivier is open."
"tunnel","tunnel","de","tunnels","De tunnel is wegens werkzaamheden gesloten."
"parkeerplaats","parking space","de","parkeerplaatsen","Ik vind nergens een vrije parkeerplaats."
"bus","bus","de","bussen","De bus rijdt elk kwartier."
"tram","tram","de","trams","De tram stopt vlak voor het museum."
"metro","metro","de","metro's","De metro is sneller dan de bus."
"chauffeur","driver","de","chauffeurs","De chauffeur stopt bij de halte."
"rijbewijs","driving licence","het","rijbewijzen","Hij haalde eindelijk zijn rijbewijs."
"ongeluk","accident","het","ongelukken","Op de snelweg gebeurde een ernstig ongeluk."
"hobby","hobby","de","hobby's","Fotograferen is mijn favoriete hobby."
"sport","sport","de","sporten","Voetbal is een populaire sport in Nederland."
"wedstrijd","match","de","wedstrijden","De wedstrijd begint om drie uur."
"team","team","het","teams","Ons team won de eerste wedstrijd."
"club","club","de","clubs","Hij is lid van een sportclub."
"lid","member","het","leden","Elk lid betaalt jaarlijks contributie."
"museum","museum","het","musea","Het museum is op maandag gesloten."
"bioscoop","cinema","de","bioscopen","We gaan vanavond naar de bioscoop."
"film","film","de","films","De film duurt bijna drie uur."
"concert","concert","het","concerten","Het concert was helaas snel uitverkocht."
"festival","festival","het","festivals","Het festival duurt het hele weekend."
"feest","party","het","feesten","Het feest duurde tot diep in de nacht."
"verjaardag","birthday","de","verjaardagen","Morgen vier ik mijn verjaardag."
"cadeau","gift","het","cadeaus","Ik koop een cadeau voor mijn zus."
"kerk","church","de","kerken","De oude kerk staat midden in het dorp."
"buur","neighbour","de","buren","Mijn buur leent vaak mijn gereedschap."
"gewoonte","habit","de","gewoontes","Vroeg opstaan is een goede gewoonte."
"regel","rule","de","regels","Op school gelden strenge regels."
"wijk","district","de","wijken","Deze wijk is rustig en groen."
"dorp","village","het","dorpen","Het dorp ligt diep in de polder."
"inwoner","inhabitant","de","inwoners","De stad heeft een miljoen inwoners."
"agent","police officer","de","agenten","De agent regelt het drukke verkeer."
"brand","fire","de","branden","De brand verwoestte het oude pand."
"ambulance","ambulance","de","ambulances","De ambulance kwam binnen tien minuten."
"noodgeval","emergency","het","noodgevallen","Bel dit nummer alleen bij een noodgeval."
"bericht","message","het","berichten","Ik stuur je straks een bericht."
"brief","letter","de","brieven","Ik schrijf een brief aan mijn oma."
"pakket","parcel","het","pakketten","Het pakket wordt morgen bezorgd."
"computer","computer","de","computers","Mijn computer is weer eens vastgelopen."
"laptop","laptop","de","laptops","Ik neem mijn laptop mee naar kantoor."
"scherm","screen","het","schermen","Het scherm van mijn telefoon is gebarsten."
"wachtwoord","password","het","wachtwoorden","Ik ben mijn wachtwoord weer vergeten."
"website","website","de","websites","De website is tijdelijk niet bereikbaar."
"netwerk","network","het","netwerken","Het draadloze netwerk is heel traag."
"programma","programme","het","programma's","Dit programma kijk ik elke week."
"bestand","file","het","bestanden","Ik kan dit bestand niet openen."
"foto","photo","de","foto's","Ze maakt een foto van het uitzicht."
"camera","camera","de","camera's","De camera maakt scherpe foto's."
"zender","channel","de","zenders","Deze zender zendt alleen nieuws uit."
"abonnement","subscription","het","abonnementen","Ik heb een abonnement op de krant."
"les","lesson","de","lessen","De les begint om negen uur."
"leraar","teacher","de","leraren","De leraar legt de som rustig uit."
"leerling","pupil","de","leerlingen","Elke leerling maakt zijn eigen werkstuk."
"student","student","de","studenten","De student studeert in de bibliotheek."
"universiteit","university","de","universiteiten","Zij studeert aan de universiteit van Leiden."
"college","lecture","het","colleges","Het college over economie was interessant."
"examen","exam","het","examens","Volgende week heb ik mijn examen."
"toets","test","de","toetsen","De toets ging beter dan verwacht."
"cijfer","grade","het","cijfers","Ik haalde een hoog cijfer voor wiskunde."
"klas","class","de","klassen","De klas is vandaag erg rumoerig."
"vak","subject","het","vakken","Aardrijkskunde is mijn favoriete vak."
"studie","study","de","studies","Zijn studie duurt nog twee jaar."
"bibliotheek","library","de","bibliotheken","Ik leen dit boek uit de bibliotheek."
"onderwerp","topic","het","onderwerpen","Het onderwerp van het gesprek was politiek."
"zon","sun","de","zonnen","De zon schijnt fel vanmiddag."
"maan","moon","de","manen","De maan staat helder aan de hemel."
"ster","star","de","sterren","Vannacht zie je veel sterren."
"lucht","sky","de","luchten","De lucht kleurt rood bij zonsondergang."
"wolk","cloud","de","wolken","Er drijft een donkere wolk voorbij."
"regen","rain","de","regens","De regen valt al de hele dag."
"wind","wind","de","winden","De wind blaast hard uit het westen."
"storm","storm","de","stormen","De storm rukte takken van de bomen."
"temperatuur","temperature","de","temperaturen","De temperatuur daalt vannacht onder nul."
"seizoen","season","het","seizoenen","De herfst is mijn favoriete seizoen."
"zomer","summer","de","zomers","De zomer was dit jaar erg warm."
"herfst","autumn","de","herfsten","In de herfst vallen de bladeren."
"winter","winter","de","winters","De winter was streng en koud."
"boom","tree","de","bomen","De boom staat midden in de tuin."
"bloem","flower","de","bloemen","De bloem geurt heerlijk in de vaas."
"plant","plant","de","planten","De plant heeft water nodig."
"blad","leaf","het","bladeren","Een geel blad valt op de grond."
"bos","forest","het","bossen","We wandelen graag door het bos."
"berg","mountain","de","bergen","De berg is bedekt met sneeuw."
"rivier","river","de","rivieren","De rivier stroomt door de stad."
"meer","lake","het","meren","We zwemmen in het koude meer."
"zee","sea","de","zeeën","De zee is vandaag heel rustig."
"strand","beach","het","stranden","Op het strand spelen veel kinderen."
"eiland","island","het","eilanden","Het eiland is alleen per boot bereikbaar."
"veld","field","het","velden","De koeien staan in het veld."
"dier","animal","het","dieren","In de dierentuin zie je veel dieren."
"vogel","bird","de","vogels","De vogel zingt vroeg in de ochtend."
"pinpas","debit card","de","pinpassen","Ik betaal de boodschappen met mijn pinpas."
"schuld","debt","de","schulden","Hij heeft een grote schuld bij de bank."
"lening","loan","de","leningen","Ze sloten een lening voor de auto."
"winst","profit","de","winsten","Het bedrijf maakte vorig jaar veel winst."
"verlies","loss","het","verliezen","Het bedrijf leed een groot verlies."
"factuur","invoice","de","facturen","De factuur moet binnen dertig dagen betaald."
"ruzie","quarrel","de","ruzies","Ze maken vaak ruzie over geld."
"relatie","relationship","de","relaties","Hun relatie duurt al tien jaar."
"huwelijk","marriage","het","huwelijken","Hun huwelijk was een groot feest."
"bruiloft","wedding","de","bruiloften","De bruiloft vindt plaats in een kasteel."
"scheiding","divorce","de","scheidingen","Na de scheiding wonen ze apart."
"buurman","male neighbour","de","buurmannen","Mijn buurman maait elke zaterdag het gras."
"buurvrouw","female neighbour","de","buurvrouwen","De buurvrouw past op onze kat."
"gast","guest","de","gasten","De gast blijft het hele weekend logeren."
"bezoek","visit","het","bezoeken","Het bezoek aan het museum was leuk."
"geheim","secret","het","geheimen","Hij vertelde me een groot geheim."
"droom","dream","de","dromen","Vannacht had ik een vreemde droom."
"angst","fear","de","angsten","Ze heeft een grote angst voor honden."
"zorg","care","de","zorgen","De zorg voor zieken kost veel geld."
